,notice_title,URL,Date of Notice, Event Number,Rapid Response Specialist,Reason Stated for Filing,Company,County,WDB Name, Region,Contact,Phone,Business Type,Number Affected,Total Employees,Layoff Date,Closing Date,Reason for Dislocation,FEIN NUM,Union,Classification,Amended
286,Screen Actors Guild-American Federation of Television & Radio Artists (SAG-AFTRA) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8896, 4/30/2020                           Amendment: 7/24/2020, 2019-1573, Stuart Goldberg, Temporary Plant Closing,"      Screen Actors Guild-American Federation of Television & Radio Artists (SAG-AFTRA) 1900 Broadway, 5th Floor New York, NY 10023", New York , NEW YORK CITY , New York City," Will Bensussen, Executive Director, Operations & Chief Administrative Officer", (323) 549-6631, Labor Union, 48 - Twenty (20) employee furloughs which began on 5/16/2020 were converted to permanent layoffs and an additional ten (10) employees will be permanently separated effective 8/7/2020., 48, 5/16/2020 (38); 8/7/2020 (10), 5/16/2020, Unforeseeable business circumstances prompted by COVID-19, 45-4931719, Teamsters Local 210-A & 210-C, Temporary Plant Closing,                          Amendment: 7/24/2020
287,"TLC West, LLC (Applebee's Camillus restaurant) - Central Region",https://labor.ny.gov/app/warn/details.asp?id=8900, 7/22/2020, 2020-0049, Karl Price, Plant Closing," TLC West, LLC (Applebee's Camillus restaurant) 5241 W. Genesee Street Camillus, NY 13031", Onondaga , ONONDAGA , Central," Susan Sabio, VP of Human Resources", (718) 634-7700, Restaurant, 32, 32, 10/25/2020, 10/25/2020, Economic, 14-1806043, The employees are not represented by a union., Plant Closing,
288,Pret A Manger (USA) Ltd. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8901, 7/17/2020, 2020-0050, Stuart Goldberg, Plant Closing/Temporary Plant Closing,      Pret A Manger (USA) Ltd. Multiple Locations, New York , NEW YORK CITY , New York City," Andy McKewan, VP People", (917) 580-0183, Restaurant, 875, ----," Furloughs began on April 3, 2020 and layoffs are expected to exceed six months. There are 96 employees being permanently separated on July 31, 2020 and additional layoffs will become permanent effective on or around September 30, 2020.", 3/19/2020, Unforeseeable business circumstances prompted by COVID-19., 52-2191416, The employees are not represented by a union., Plant Closing/Temporary Plant Closing,
289,Victoria's Secret - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8897, 7/22/2020, 2020-0048, Stuart Goldberg, Plant Closing,"Victoria's Secret 722 Lexington Avenue New York, NY 10022", New York , NEW YORK CITY , New York City," Kendal Kalata, VP, Human Resources", (614) 577-6467, Retail, 56, 56, Furlough began on 4/5/2020., 10/24/2020, Unforeseeable business circumstances prompted by COVID-19., 54-2170171, The employees are not represented by a union., Plant Closing,
290,AT&T (M&E Marketing Unit) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8898, 7/23/2020, 2020-0052, Stuart Goldberg, Plant Unit Closing,"      AT&T (M&E Marketing Unit) 1 Rockefeller Plaza New York, NY 10020", New York , NEW YORK CITY , New York City," Amy M. Hines Kramer, President - New York", (518) 436-0189, Marketing, 54, ----, 10/22/2020, 10/22/2020, Economic, ----, The employees are not represented by a union., Plant Unit Closing,
291,"CVS Health (CVS Pharmacy, Inc.) - Long Island Region",https://labor.ny.gov/app/warn/details.asp?id=8899, 7/21/2020, 2020-0051, Frederick Danks, Plant Closing,"      CVS Health (CVS Pharmacy, Inc.) 45 South Service Rd Plainview, NY 11803", Nassau , OYSTER BAY , Long Island," Katie Wittenberg, Senior Advisor, Human Resources", (407) 717-6133, Pharmacy, 74, 74, 10/23/2020, 10/23/2020," Opening up facilities in Maspeth and Albany, New York", 58-1813486, The employees are not represented by a union., Plant Closing,
292,Fairway Group Holdings Corp. - New York City Region / Mid-Hudson Region / Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=8895, 1/24/2020                               Amendment: 7/22/2020, 2019-0252," Stuart Goldberg, Elias Flores and Frederick Danks", Possible Plant Layoff/Plant Closing,"Fairway Group Holdings Corp.Harlem2328 12th AvenueNew York, NY 10027", New York , OYSTER BAY , Long Island," Charles J. Farfaglia, Senior Vice President Human Resources", (646) 616-8090, Grocery Store, 160," 2,274 affected for all 14 sites"," The mass layoff at the Production and Distribution Center will occur between 4/30/2020 and 5/13/2020. Due to delays relating to the Company's efforts to wind down operations at the Harlem store, the Company:currently expects that the ""plant closing"" and all job losses will occur between 7/10/2020 and 7/24/2020. The Company:has entered into an agreement with a potential purchaser of the Red Hook and Douglaston store locations, Bogopa Enterprises, Inc. The Company:currently expects that a plant closing at the Westbury store location will occur between 7/31/2020 and 8/14/2020. Due to delays relating to the Company's efforts to wind down its operations, the Company:currently expects the Corporate Office closing will occur between 7/29/2020 and 8/12/2020 rather than between 7/8/2020 and 7/22/2020.", -----, Economic, 20-5948719," UFCW, Local 1500; UFCW, Local 1262; UFCW, Local 371", Possible Plant Layoff/Plant Closing,                              Amendment: 7/22/2020
293,SSP America (at LaGuardia Airport) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8891, 7/10/2020, 2020-0047, Stuart Goldberg, Plant Layoff,"      SSP America (at LaGuardia Airport) LaGuardia Airport Flushing, NY 11371", Queens , NEW YORK CITY , New York City," Lieske Renz, VP, Human Resources", (571) 258-4566, Leading operator of food and beverage brands in travel locations worldwide, 132, ----, Separations will begin on 10/14/2020 and continue through 10/28/2020., ----, Unforeseeable business circumstances prompted by COVID-19, 33-0169494," UNITE HERE, Local 100", Plant Layoff,
294,"Lago Resort & Casino, LLC dba del Lago Resort & Casino - Finger Lakes Region",https://labor.ny.gov/app/warn/details.asp?id=8892, 7/13/2020, 2020-0045, Regenna Darrah, Temporary Plant Closing,"Lago Resort & Casino, LLC dba del Lago Resort & Casino 1133 Rte. 414 Waterloo, NY 13165", Seneca , FINGER LAKES , Finger Lakes," Blair Morgan, VP of Human Resources", (315) 946-1680, Hotel & Casino," 1,077"," 1,077", Separations began on 4/9/2020 and layoffs are expected to last for an as yet undetermined period., 4/9/2020, Unforeseeable business circumstances prompted by COVID-19., ----," New York Hotel & Motel Trades Council, AFL-CIO, affiliated with UNITE HERE", Temporary Plant Closing,
295,"American Grill Investor, LLC dba Hudson Yards Grill - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8894, 7/9/2020, 2020-0044, Stuart Goldberg, Temporary Plant Closing,"      American Grill Investor, LLC dba Hudson Yards Grill 20 Hudson Yards, Ste 401A New York, NY 10001", New York , NEW YORK CITY , New York City," Alex Kurland, Associate Director of Restaurant Operations", (516) 770-3609, Restaurant, 91, 91, Layoffs began on 3/16/2020 and are expected to exceed six months., 3/16/2020, Unforeseeable business circumstances prompted by COVID-19., 36-4868636, The employees are not represented by a union., Temporary Plant Closing,
296,"Big Bowl, LLC dba Frames Bowling Lounge - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8893, 7/17/2020, 2020-0043, Stuart Goldberg, Temporary Plant Closing,"      Big Bowl, LLC dba Frames Bowling Lounge 625 8th Ave. New York, NY 10018", New York , NEW YORK CITY , New York City," Adam Rand, Company:liaison", (516) 353-4321, Bowling Lounge, 48, 48, Separations began on 3/15/2020 and layoffs will exceed six months., 3/15/2020, Unforeseeable business circumstances prompted by COVID-19, ----, The employees are not represented by a union., Temporary Plant Closing,
297,SSP America (at JFK International Airport) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8890, 7/10/2020, 2020-0046, Stuart Goldberg, Plant Layoff,"      SSP America (at JFK International Airport) JFK International Airport Jamaica, NY 11430", Queens , NEW YORK CITY , New York City," Alieske Renz, VP, Human Resources", 5712584566 Ext: 0," Leading operator of food and beverage brands in travel locations worldwide,", 889, ----889, 10/14/2020, ----, Unforeseeable business circumstances prompted by COVID-19, ----33-0169494," The employees are not represented by a union. UNITE HERE, Local 100", Plant Layoff,
298,Fairway Group Holdings Corp. - New York City Region / Mid-Hudson Region / Long Island Region,https://labor.ny.gov/app/warn/details.asp?id=8889, 1/24/2020                               Amendment: 7/17/2020, 2019-0252," Stuart Goldberg, Elias Flores and Frederick Danks", Possible Plant Layoff/Plant Closing,"Fairway Group Holdings Corp.Harlem2328 12th AvenueNew York, NY 10027", New York , OYSTER BAY , Long Island," Charles J. Farfaglia, Senior Vice President Human Resources", (646) 616-8090, Grocery Store, 160," 2,279 affected for all 14 sites"," Due to delays relating to the closing of the agreement between the Company:and the Buyer, the Company:expects that the mass layoff at the Production and Distribution Center will occur between 4/30/2020 and 5/13/2020. Due to delays relating to the Company's efforts to wind down operations at the Harlem store, the Company:currently expects that the ""plant closing"" and all job losses will occur between 7/10/2020 and 7/24/2020. The Company:expects that the Corporate Office will close, and separations will occur between 7/8/2020 and 7/22/2020. The Company:has entered into an agreement with a potential purchaser of the Red Hook and Douglaston store locations, Bogopa Enterprises, Inc. The Company:currently expects that a plant closing at the Westbury store location will occur between 7/31/2020 and 8/14/2020.", -----, Economic, 20-5948719," UFCW, Local 1500; UFCW, Local 1262; UFCW, Local 371", Possible Plant Layoff/Plant Closing,                              Amendment: 7/17/2020
299,Greif Packing LLC - Western Region,https://labor.ny.gov/app/warn/details.asp?id=8884, 7/20/2020, 2020-0042, Michele Taylor, Plant Closing,"      Greif Packing LLC 2122 Colvin Blvd. Tonawanda, NY 14150", Erie , ERIE , Western," Wendell Mulford, Regional Human Resources Manager", (513) 340-8564, Manufacturer, 44, 44,  Plant Closing with layoffs beginning during the 14-day period starting on 9/18/2020 and ending during 14-day period starting on 12/4/2020., 12/4/2020, Economic, 36-3268123," United Steelworkers, Local Union 4-607", Plant Closing,
300,"Nexans Energy USA, Inc. - Mid-Hudson Region",https://labor.ny.gov/app/warn/details.asp?id=8886, 3/23/2020                           Amendment: 7/16/2020, 2019-0646,, Plant Closing,"Nexans Energy USA, Inc.", Orange , ORANGE , Mid-Hudson," Shamika Heyward, HR Site Managerr", (646) 460-9113, Manufacture wire and cable products, 176 (Total employees affected at both sites), -----, Temporary layoffs that began effective 3/20/2020 will now become permanent.," Both facilities will be closing and are expected to occur within a 90-day period beginning on July 16, 2020 and ending on October 16, 2020.", Unforeseeable business circumstances prompted by COVID-19, 56-1677808, IBEW Local 1430, Plant Closing,                          Amendment: 7/16/2020
301,"Empire Merchants, LLC (United Division) - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8885, 6/18/2020, 2019-1970, Stuart Goldberg, Plant Unit Closing,"      Empire Merchants, LLC (United Division) 48-11 20th Ave. Astoria, NY 11105", Queens , NEW YORK CITY , New York City," Alicia Dicks, Director of Human Resources", (718) 255-2447, Premier wine and spirits distributor, 166, 166, 9/30/2020, 9/30/2020, Loss of business supplier contract with Empire, 20-5431037," United Food & Commercial Workers Local 2-D; Wine, Liquor & Distillery Workers Union Local 1-D", Plant Unit Closing,
302,Michael Page International Inc. - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8882, 4/8/2020                            Amendment: 7/16/2020, 2019-1187, Stuart Goldberg, Plant Layoff,"      Michael Page International Inc. 622 Third Avenue, 29th Floor New York, NY 10017", New York , NEW YORK CITY , New York City," Alyssa Williams, Head of HR Operations", (203) 905-5216, Employment Agency, 120, -----, An additional seven (7) employees have been permanently separated between 4/9/2020 and 7/16/2020., -----, Unforeseeable business circumstances prompted by COVID-19, -----, The employees are not represented by a union., Plant Layoff,                           Amendment: 7/16/2020
303,"Club Quarters Hotel, World Trade Center - New York City Region",https://labor.ny.gov/app/warn/details.asp?id=8888, 7/9/2020, 2020-0040, Stuart Goldberg, Temporary Plant Closing/Plant Layoff,"      Club Quarters Hotel, World Trade Center 140 Washington St. New York, NY 10006", New York , NEW YORK CITY , New York City," Nicole Sinclair, Company:Liaison", (203) 905-2009, Hotel, 87, ----, Eighty-seven (87) employees that were temporarily separated effective 3/28/2020 have been permanently separated effective 7/9/2020., 3/28/2020, Unforeseeable business circumstances prompted by COVID-19, ----, The affected employees are not represented by a union., Temporary Plant Closing/Plant Layoff,
304,Jewel Facing Rockefeller Center (a Club Quarters Hotel) - New York City Region,https://labor.ny.gov/app/warn/details.asp?id=8887, 7/9/2020, 2020-0041, Stuart Goldberg, Temporary Plant Closing,"      Jewel Facing Rockefeller Center (a Club Quarters Hotel) 11 W. 51st St. New York, NY 10019", New York , NEW YORK CITY , New York City," Nicole Sinclair, Company:Liaison", (203) 905-2009, Hotel, 27, 27, Separations began on 3/28/2020 and layoffs are expected to exceed six months., 3/28/2020, Unforeseeable business circumstances prompted by COVID-19., ----," New York Hotel and Motel Trades Council, AFL-CIO", Temporary Plant Closing,
